date,direction,entry_spot,short_strike,edge_score,trust,taken,outcome,pnl,regime
2025-01-01,DOWN,23743.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-02,UP,24189.0,0.0,35,C,False,SKIP,0,mild_bull
2025-01-03,UP,24005.0,0.0,55,B,False,SKIP,0,mild_bull
2025-01-06,UP,23616.0,0.0,55,B,False,SKIP,0,mild_bull
2025-01-07,DOWN,23708.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-08,UP,23689.0,0.0,35,C,False,SKIP,0,mild_bull
2025-01-09,DOWN,23526.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-10,DOWN,23432.0,23832.0,75,A,True,WIN,1000,mild_bear
2025-01-13,DOWN,23086.0,23486.0,75,A,True,WIN,1000,mild_bear
2025-01-14,DOWN,23176.0,23576.0,75,A,True,WIN,1000,mild_bear
2025-01-15,DOWN,23213.0,23613.0,75,A,True,WIN,1000,mild_bear
2025-01-16,DOWN,23312.0,23712.0,75,A,True,WIN,1000,mild_bear
2025-01-17,DOWN,23203.0,0.0,55,B,False,SKIP,0,mild_bear
2025-01-20,DOWN,23345.0,0.0,55,B,False,SKIP,0,mild_bear
2025-01-21,UP,23025.0,0.0,55,B,False,SKIP,0,mild_bull
2025-01-22,DOWN,23155.0,0.0,55,B,False,SKIP,0,mild_bear
2025-01-23,DOWN,23205.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-24,DOWN,23092.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-27,DOWN,22829.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-28,DOWN,22957.0,23357.0,75,A,True,STOP,-6500,mild_bear
2025-01-29,DOWN,23163.0,0.0,35,C,False,SKIP,0,mild_bear
2025-01-30,UP,23250.0,0.0,35,C,False,SKIP,0,mild_bull
2025-01-31,UP,23508.0,0.0,35,C,False,SKIP,0,mild_bull
2025-02-01,UP,23482.0,0.0,55,B,False,SKIP,0,mild_bull
2025-02-03,UP,23361.0,22961.0,75,A,True,WIN,1000,mild_bull
2025-02-04,UP,23739.0,0.0,55,B,False,SKIP,0,mild_bull
2025-02-05,UP,23696.0,23296.0,75,A,True,STOP,-6500,mild_bull
2025-02-06,UP,23603.0,23203.0,75,A,True,STOP,-6500,mild_bull
2025-02-07,UP,23560.0,0.0,35,C,False,SKIP,0,mild_bull
2025-02-10,UP,23382.0,0.0,35,C,False,SKIP,0,mild_bull
2025-02-11,UP,23072.0,0.0,35,C,False,SKIP,0,mild_bull
2025-02-12,DOWN,23045.0,23445.0,75,A,True,WIN,1000,mild_bear
2025-02-13,DOWN,23031.0,23431.0,75,A,True,WIN,1000,mild_bear
2025-02-14,DOWN,22929.0,23329.0,75,A,True,WIN,1000,mild_bear
2025-02-17,DOWN,22960.0,23360.0,75,A,True,WIN,1000,mild_bear
2025-02-18,DOWN,22945.0,0.0,55,B,False,SKIP,0,mild_bear
2025-02-19,DOWN,22933.0,0.0,35,C,False,SKIP,0,mild_bear
2025-02-20,DOWN,22913.0,0.0,35,C,False,SKIP,0,mild_bear
2025-02-21,DOWN,22796.0,0.0,35,C,False,SKIP,0,mild_bear
2025-02-24,DOWN,22553.0,0.0,35,C,False,SKIP,0,mild_bear
2025-02-25,DOWN,22548.0,0.0,55,B,False,SKIP,0,mild_bear
2025-02-27,DOWN,22545.0,0.0,55,B,False,SKIP,0,mild_bear
2025-02-28,DOWN,22125.0,0.0,55,B,False,SKIP,0,mild_bear
2025-03-03,DOWN,22119.0,22519.0,75,A,True,BLOWN,-6500,mild_bear
2025-03-04,DOWN,22083.0,22483.0,75,A,True,STOP,-6500,mild_bear
2025-03-05,DOWN,22337.0,22737.0,75,A,True,WIN,1000,mild_bear
2025-03-06,DOWN,22545.0,0.0,55,B,False,SKIP,0,mild_bear
2025-03-07,DOWN,22552.0,0.0,35,C,False,SKIP,0,mild_bear
2025-03-10,UP,22460.0,22060.0,75,A,True,WIN,1000,mild_bull
2025-03-11,UP,22498.0,0.0,55,B,False,SKIP,0,mild_bull
2025-03-12,UP,22470.0,22070.0,75,A,True,WIN,1000,mild_bull
2025-03-13,UP,22397.0,0.0,35,C,False,SKIP,0,mild_bull
2025-03-17,DOWN,22509.0,0.0,55,B,False,SKIP,0,mild_bear
2025-03-18,DOWN,22834.0,0.0,35,C,False,SKIP,0,mild_bear
2025-03-19,UP,22908.0,0.0,55,B,False,SKIP,0,mild_bull
2025-03-20,UP,23191.0,0.0,55,B,False,SKIP,0,mild_bull
2025-03-21,UP,23350.0,22950.0,75,A,True,WIN,1000,mild_bull
2025-03-24,UP,23658.0,23258.0,75,A,True,STOP,-6500,mild_bull
2025-03-25,UP,23669.0,23269.0,75,A,True,STOP,-6500,mild_bull
2025-03-26,UP,23487.0,23087.0,75,A,True,WIN,1000,mild_bull
2025-03-27,UP,23592.0,23192.0,75,A,True,BLOWN,-6500,mild_bull
2025-03-28,UP,23519.0,0.0,55,B,False,SKIP,0,mild_bull
2025-04-01,UP,23166.0,0.0,55,B,False,SKIP,0,mild_bull
2025-04-02,DOWN,23332.0,23732.0,75,A,True,WIN,1000,mild_bear
